name,brewery_type,address,state,phone,website_url,country,region,division
Braxton Brewing Company,micro,27 W 7th St Covington Kentucky 41011-2301,Kentucky,859615600,http://www.braxtonbrewing.com,United States,South,East South Central
Braxton Labs,micro,95 Riviera Dr Bellevue Kentucky 41073-1337,Kentucky,859615600,Not Available,United States,South,East South Central
Brazos Valley Brewing Company,micro,201 W 1st St Brenham Texas 77833,Texas,9799871133,http://www.brazosvalleybrewery.com,United States,South,West South Central
Breaker Brewing Company,brewpub,787 E Northampton St Wilkes Barre Pennsylvania 18702-7521,Pennsylvania,Not Available,Not Available,United States,Northeast,Middle Atlantic
Breakside Brewery,brewpub,820 NE Dekum St Portland Oregon 97211-3630,Oregon,5037196475,http://www.breakside.com,United States,West,Pacific
Breakside Brewery Slabtown,brewpub,1570 NW 22nd Ave Portland Oregon 97210-2369,Oregon,5034447597,http://breakside.com,United States,West,Pacific
Breakside Brewery & Taproom,regional,5821 SE International Way Milwaukie Oregon 97222-4633,Oregon,5037196475,http://www.breakside.com,United States,West,Pacific
Breckenridge Brewery & Pub,large,600 S Main St Breckenridge Colorado 80424-0075,Colorado,9704531550,http://www.breckbrewpub.com,United States,West,Mountain
Brevard Brewing Co,micro,63 E Main St Brevard North Carolina 28712-3746,North Carolina,Not Available,http://www.brevard-brewing.com,United States,South,South Atlantic
Brew Angels LLC,brewpub,6821 Caroline St Milton Florida 32570-2206,Florida,8505640034,Not Available,United States,South,South Atlantic
Brew Bus Brewing,brewpub,4101 N Florida Ave Tampa Florida 33603-3817,Florida,8139907310,http://www.brewbususa.com,United States,South,South Atlantic
Brew Detroit,micro,1401 Abbott St Detroit Michigan 48216-1946,Michigan,3139747366,http://www.brewdetroit.com,United States,Midwest,East North Central
Brew Gentlemen,micro,512 Braddock Ave Braddock Pennsylvania 15104-1806,Pennsylvania,4128715075,http://www.brewgentlemen.com,United States,Northeast,Middle Atlantic
Brew House No 16,brewpub,831 N Calvert St Baltimore Maryland 21202-3705,Maryland,4106594084,http://www.brewhouseno16.com,United States,South,South Atlantic
Brew Hub Taproom,brewpub,5656 Oakland Avenue Saint Louis Missouri 63110,Missouri,3148335453,http://www.tapbrewhub.com,United States,Midwest,West North Central
Brew Keepers,micro,2200 Main St Wheeling West Virginia 26003-2866,West Virginia,7248098968,Not Available,United States,South,South Atlantic
Brew Kettle - Production Works,micro,20102 Progress Dr Strongsville Ohio 44149-3259,Ohio,Not Available,Not Available,United States,Midwest,East North Central
Brew Lab,brewpub,7925 Marty St Overland Park Kansas 66204-3727,Kansas,9134002343,http://www.brewlabkc.com,United States,Midwest,West North Central
Brew Life Brewing,micro,5767 Beneva Rd Sarasota Florida 34233-4105,Florida,9419523831,http://www.brewlifebrewing.com,United States,South,South Atlantic
Brew Pub and Kitchen,brewpub,117 W College Dr Durango Colorado 81301-5407,Colorado,9702595959,http://www.brewpubkitchen.com,United States,West,Mountain
Brew Rebellion,micro,33 S San Gorgonio Ave Banning California 92220-6001,California,9519074844,Not Available,United States,West,Pacific
Brew Works of Fremont,brewpub,5909 S Warner Ave Fremont Michigan 49412,Michigan,2313355105,http://www.thecommonsoffremont.com,United States,Midwest,East North Central
Brewbakers Brewing Co,brewpub,219 E Main St Visalia California 93291-6355,California,5596272739,http://www.brewbakersbrewingco.com,United States,West,Pacific
Brewcaipa Brewing Co.,micro,35058 Yucaipa Blvd Yucaipa California 92399-4337,California,9092722337,http://www.brewcaipa.com,United States,West,Pacific
"BrewDog Brewing Company, LLC",micro,96 Gender Rd Canal Winchester Ohio 43110-7539,Ohio,6149083059,http://www.brewdog.com/usa,United States,Midwest,East North Central
Brewdog Short North & Kennels,brewpub,1175 N High St Columbus Ohio 43201,Ohio,614-908-3053,https://www.brewdog.com/,United States,Midwest,East North Central
Brewed By Gnomes,contract,1735 SE 33rd Ave Portland Oregon 97214-5024,Oregon,Not Available,Not Available,United States,West,Pacific
Brewer's Alley Restaurant and Brewery,brewpub,124 N Market St Frederick Maryland 21701-5422,Maryland,3016310089,http://www.brewers-alley.com,United States,South,South Atlantic
"Brewerie at Union Station, The",brewpub,123 W 14th St Erie Pennsylvania 16501-1717,Pennsylvania,8144542200,http://www.brewerie.com,United States,Northeast,Middle Atlantic
Brewers Union Local 180,brewpub,48329 E 1st St Oakridge Oregon 97463-9700,Oregon,5417822024,http://www.brewersunion.com,United States,West,Pacific
Brewery 26,micro,5829 SE Powell Blvd Portland Oregon 97206,Oregon,9712548488,http://www.brewery26.com,United States,West,Pacific
"Brewery 33 Hocking Hills, LLC",micro,12684 College Prospect Dr Logan Ohio 43138-8983,Ohio,Not Available,Not Available,United States,Midwest,East North Central
Brewery 85,micro,6 Whitlee Ct Greenville South Carolina 29607-3791,South Carolina,Not Available,http://www.brewery85.com,United States,South,South Atlantic
Brewery At Abigaile,brewpub,1301 Manhattan Ave Hermosa Beach California 90254-3666,California,3107988227,http://www.abigailerestaurant.com,United States,West,Pacific
Brewery At Lake Tahoe,brewpub,3542 Lake Tahoe Blvd South Lake Tahoe California 96150-8900,California,5305444369,http://www.brewerylaketahoe.com,United States,West,Pacific
Brewery At Simmzys Burbank,brewpub,3000 W Olive Ave Burbank California 91505-4537,California,8189622500,http://www.Simmzys.com,United States,West,Pacific
Brewery At The Culinary Institute Of America,brewpub,1946 Campus Dr Hyde Park New York 12538,New York,Not Available,Not Available,United States,Northeast,Middle Atlantic
Brewery Becker,brewpub,500 W Main St Brighton Michigan 48116-1471,Michigan,8108440225,http://www.brauereibecker.us,United States,Midwest,East North Central
Brewery Bhavana,micro,218 S Blount St Raleigh North Carolina 27601,North Carolina,4154701370,http://brewerybhavana.com,United States,South,South Atlantic
"Brewery Creek Inn, Restaurant and Brewery",brewpub,23 Commerce St Mineral Point Wisconsin 53565-1368,Wisconsin,6089873298,http://www.brewerycreek.com,United States,Midwest,East North Central
Brewery Draconum,micro,24407 Main St # 09 Newhall California 91321-2801,California,6619931846,Not Available,United States,West,Pacific
Brewery Emperial,brewpub,1829 Oak St Kansas City Missouri 64108,Missouri,8169459625,http://www.breweryemperial.com,United States,Midwest,West North Central
Brewery Ferment,micro,511 S Union St Traverse City Michigan 49684-3246,Michigan,2317358113,http://www.breweryferment.com,United States,Midwest,East North Central
Brewery Ommegang,regional,656 County Highway 33 Cooperstown New York 13326-4737,New York,8005441809,http://www.ommegang.com,United States,Northeast,Middle Atlantic
Brewery Rickoli,micro,4335 Wadsworth Blvd Wheat Ridge Colorado 80033-4621,Colorado,3034316862,http://www.breweryrickoli.com,United States,West,Mountain
Brewery Silvaticus,brewpub,9 Water St Amesbury Massachusetts 01913-2936,Massachusetts,9785042337,http://www.silvaticusbeers.com,United States,Northeast,New England
Brewery Terra Firma,micro,2959 Hartman Rd Traverse City Michigan 49685-8838,Michigan,2319291600,http://www.breweryterrafirma.com,United States,Midwest,East North Central
Brewery Twenty Five,micro,106 3rd St Hollister California 95023,California,8316367640,http://www.brewerytwentyfive.com,United States,West,Pacific
Brewery Vivant,brewpub,925 Cherry St SE Grand Rapids Michigan 49506-1403,Michigan,6167191604,http://www.breweryvivant.com,United States,Midwest,East North Central
Brewheim Brewing Company,planning,Not Available Anaheim California 92806,California,Not Available,http://www.brewheim.com,United States,West,Pacific
Brewjeria Company,planning,Not Available Hacienda Heights California 91745-1620,California,Not Available,http://www.brewjeriacompany.com,United States,West,Pacific
Brewmasters Tavern / Brewmasters Brewing Services,micro,4 Main St Williamsburg Massachusetts 01096-9428,Massachusetts,4132682199,Not Available,United States,Northeast,New England
Brewport Brewing Co,brewpub,225 S Frontage Rd Bridgeport Connecticut 06604-5031,Connecticut,2036124438,http://www.brewportct.com,United States,Northeast,New England
Brewpub In Planning - Birmingham,planning,Not Available Birmingham Alabama 35222,Alabama,2565854531,Not Available,United States,South,East South Central
BrewSA Brewing Co,micro,180 Woodcleft Ave Freeport New York 11520-6336,New York,5163772751,http://www.brewsa.com,United States,Northeast,Middle Atlantic
Brewstel,micro,120 Davis Ave Elkins West Virginia 26241-3812,West Virginia,3049974769,http://www.brewstel.com,United States,South,South Atlantic
Brewster Bros Brewing Co,micro,402 W River St Chippewa Falls Wisconsin 54729-2355,Wisconsin,7158615100,http://www.chippewariverdistillery.com/beer/,United States,Midwest,East North Central
Brewtality,contract,930 McLaughlin Ave San Jose California 95122-2611,California,3104023349,http://www.brewtality.com,United States,West,Pacific
Brewtus Brewing Co,micro,23 Chestnut Ave Sharon Pennsylvania 16146-,Pennsylvania,7243086293,http://www.brewtusbrewing.com,United States,Northeast,Middle Atlantic
Brewvado Taproom,micro,135 Lopez Rd B Lopez Island Washington 98261-8290,Washington,3602288214,Not Available,United States,West,Pacific
Brewyard Beer Company LLC,micro,906 Western Ave Glendale California 91201,California,8184099448,http://www.brewyardbeercompany.com,United States,West,Pacific
BriarScratch Brewing,micro,Highway 25 Cottontown Tennessee 37048,Tennessee,6153191563,http://www.briarscratchbrewing.com,United States,South,East South Central
Brice's Brewing Company,micro,1822 Garner Station Blvd Raleigh North Carolina 27603-3643,North Carolina,9842001803,http://www.bricesbrewing.com,United States,South,South Atlantic
Brick and Barrel,micro,1844 Columbus Rd Cleveland Ohio 44113-2412,Ohio,5039270629,http://www.brickandbarrelbrewing.com,United States,Midwest,East North Central
Brick House Brewery and Restaurant,brewpub,67 W Main St Patchogue New York 11772-3001,New York,6314472337,http://www.brickhousebrewery.com,United States,Northeast,Middle Atlantic
Brick & Mortar Brewing Company,micro,212 E Washington St Suffolk Virginia 23434-4514,Virginia,7575331173,Not Available,United States,South,South Atlantic
Brick Oven Pizza Co/ Brick & Forge Brewing,brewpub,4714 S 14th St Abilene Texas 79605-4733,Texas,8702364200,Not Available,United States,South,West South Central
Brick Oven Pizza Co / Brick & Forge Brewing,brewpub,2410 Linwood Dr Paragould Arkansas 72450-6122,Arkansas,8702364200,http://www.brickovenpizzacompany.com,United States,South,West South Central
Brick Works Brewing and Eats,brewpub,230 S Dupont Blvd Smyrna Delaware 19977-1573,Delaware,3025082523,http://www.brickworksde.com,United States,South,South Atlantic
BrickHaven Brewing Company,micro,200 E Jefferson St Grand Ledge Michigan 48837-1537,Michigan,5179251319,Not Available,United States,Midwest,East North Central
BrickStone Brewery Brewpub,brewpub,557 William Latham Dr Bourbonnais Illinois 60914-2319,Illinois,8159369277,http://www.brickstonebrewery.com,United States,Midwest,East North Central
Bricktown Brewery,brewpub,1 Remington Pl Oklahoma City Oklahoma 73111,Oklahoma,4054194449,http://www.bricktownbrewery.com,United States,South,West South Central
Bricktown Brewery,brewpub,1 N Oklahoma Ave Oklahoma City Oklahoma 73104-2413,Oklahoma,4052322739,http://www.bricktownbrewery.com,United States,South,West South Central
Bricktowne Brewing Co,brewpub,111 E 8th St Medford Oregon 97501-7201,Oregon,5419732377,http://www.bricktownebeer.com,United States,West,Pacific
Brickway Brewery and Distillery,micro,1116 Jackson St Omaha Nebraska 68102-2825,Nebraska,4029332613,http://www.drinkbrickway.com,United States,Midwest,West North Central
Brickyard Brewing Company,brewpub,436 Center St Lewiston New York 14092-1604,New York,7167547227,http://www.brickyardbrewingcompany.com,United States,Northeast,Middle Atlantic
Bridge And Tunnel Brewery,micro,15-35 Decatur St Ridgewood New York 11385-5818,New York,3473928593,http://www.bridgeandtunnelbrewery.com,United States,Northeast,Middle Atlantic
BridgePort Brewing Co,regional,1318 NW Northrup St Portland Oregon 97209-2808,Oregon,5032417179,http://www.bridgeportbrew.com,United States,West,Pacific
Bridger Brewing Company,brewpub,1609 S 11th Ave Bozeman Montana 59715-5466,Montana,4065872124,http://www.bridgerbrewing.com,United States,West,Mountain
Brieux Carre Brewing Company,micro,2115 Decatur St New Orleans Louisiana 70116,Louisiana,5043044242,http://www.brieuxcarre.com,United States,South,West South Central
Brigadoon Brewery & Brew School,micro,4808 Fairmont Pkwy Ste 112 Pasadena Texas 77505-3722,Texas,9368940425,http://www.brigadoonbrewery.com,United States,South,West South Central
Bright Penny Brewing Company,contract,309 W Graham St Mebane North Carolina 27302-2311,North Carolina,Not Available,http://www.brightpennybrewing.com,United States,South,South Atlantic
Brim Kitchen and Brewery,brewpub,3941 Erie St Willoughby Ohio 44094-7704,Ohio,4402068183,http://www.brimbrewery.com,United States,Midwest,East North Central
Brindle Haus Brewing Company,micro,377 S Union St Spencerport New York 14559-1970,New York,5855076665,http://www.brindlehausbrewing.com,United States,Northeast,Middle Atlantic
Brink Brewing Company,micro,5905 Hamilton Ave Cincinnati Ohio 45224-3045,Ohio,5138823334,http://www.brinkbrewing.com,United States,Midwest,East North Central
Brinx Jones Brewery,micro,613 E Landis Ave Vineland New Jersey 8360,New Jersey,8564056993,http://www.brinxjones.com,United States,Northeast,Middle Atlantic
Brioux City Brewery,micro,1306 Court St Sioux City Iowa 51105,Iowa,7122779568,http://www.briouxcitybrewery.com,United States,Midwest,West North Central
Bristol Brewing Co,micro,1604 S Cascade Ave Colorado Springs Colorado 80905-2237,Colorado,7196332555,http://www.bristolbrewing.com,United States,West,Mountain
Bristol Station Brews & Taproom,micro,41 Piedmont Ave Bristol Virginia 24201-4160,Virginia,2766081220,http://www.bristolbrew.com,United States,South,South Atlantic
Brite Eyes Brewing Co,brewpub,1156 S Burdick St Kalamazoo Michigan 49001-2741,Michigan,2692205001,Not Available,United States,Midwest,East North Central
British Bulldog Brewery,micro,14540 Camaren Park Dr Chico California 95973-8835,California,5308928759,http://www.britishbulldogbrewery.com,United States,West,Pacific
Brix Taphouse and Brewery,brewpub,813 8th St Greeley Colorado 80631-3911,Colorado,9703976146,http://www.brixtaphouseandbrewery.com,United States,West,Mountain
Brixton Brewing,brewpub,165 Brighton Ave Rochester Pennsylvania 15074-2203,Pennsylvania,7247282227,http://www.brixtonbrewing.com,United States,Northeast,Middle Atlantic
Broad Brook Brewing Company,micro,915 South St Suffield Connecticut 6078,Connecticut,8606231000,http://www.broadbrookbrewing.com,United States,Northeast,New England
Broadway Brewery,brewpub,816 E Broadway Ste B Columbia Missouri 65201-4898,Missouri,5734435054,http://www.broadwaybrewery.com,United States,Midwest,West North Central
Broken Arrow Brewing Co.,micro,333 W Dallas St Broken Arrow Oklahoma 74012-4026,Oklahoma,9182868101,http://www.brokenarrowbrewingco.com,United States,South,West South Central
Broken Bow Brewery,micro,173 Marbledale Rd Tuckahoe New York 10707-3117,New York,9142680900,http://www.brokenbowbrewery.com,United States,Northeast,Middle Atlantic
Broken Horn Brewing Company,micro,201 S Mission St McCall Idaho 83638,Idaho,2083155772,http://www.brokenhornbrewing.com,United States,West,Mountain
Broken Symmetry Gastro Brewery,brewpub,5 Depot Pl Bethel Connecticut 06801-2507,Connecticut,2037311735,Not Available,United States,Northeast,New England
Broken Tooth Brewing Co,brewpub,2021 Spar Ave Anchorage Alaska 99501-1815,Alaska,9072784999,https://brokentoothbrewing.net,United States,West,Pacific
Broken Trail Brewery & Distillery,micro,2921 Stanford Dr NE Albuquerque New Mexico 87107-1813,New Mexico,5052216281,http://www.brokentrailspirits.com,United States,West,Mountain
Broken Wheel Brewery,brewpub,109 Tunica Dr E Marksville Louisiana 71351-3005,Louisiana,3182536543,Not Available,United States,South,West South Central
Brokerage Brewing Company,micro,2516 Covington St West Lafayette Indiana 47906-1404,Indiana,7652332767,http://www.brokeragebrewing.com,United States,Midwest,East North Central
Bronze Owl Brewing,brewpub,506 Vine St Poplar Bluff Missouri 63901-7331,Missouri,5738405202,http://www.bronzeowlbrewing.com,United States,Midwest,West North Central
Brookeville Beer Farm,micro,20315 Georgia Ave Brookeville Maryland 20833-1711,Maryland,3012601000,http://www.brookevillebeerfarm.com,United States,South,South Atlantic
Brothers Cascadia Brewing,micro,9811 NE 15th Ave Vancouver Washington 98665-9102,Washington,3607188927,http://www.brotherscascadiabrewing.com,United States,West,Pacific
Brothers Craft Brewing,micro,800 N Main St Harrisonburg Virginia 22802-4625,Virginia,5404216599,http://www.brotherscraftbrewing.com,United States,South,South Atlantic
Brotherton Brewing Company,micro,340 Forked Neck Rd Shamong New Jersey 8088,New Jersey,6098012686,http://www.brothertonbrewing.com,United States,Northeast,Middle Atlantic
Brotherwell Brewing,micro,400 E Bridge St Waco Texas 76704-2505,Texas,2147638755,Not Available,United States,South,West South Central
Brouwerij Cursus Keme,brewpub,155 Thompson St Asheville North Carolina 28803-1443,North Carolina,Not Available,Not Available,United States,South,South Atlantic
Brouwerij Les Deplorables,micro,19812 163rd Ave NE Woodinville Washington 98072-7027,Washington,2067902496,Not Available,United States,West,Pacific
Brown Iron Brewhouse,brewpub,57695 Van Dyke Rd Washington Michigan 48094-2879,Michigan,586697330,http://www.browniron.com,United States,Midwest,East North Central
Brown's Brewing Co,brewpub,50 Factory Hill Rd North Hoosick New York 12133,New York,5182732337,http://www.brownsbrewing.com,United States,Northeast,Middle Atlantic
Brown's Brewing Co,brewpub,417 River St Troy New York 12180-2822,New York,5183654846,http://www.brownsbrewing.com,United States,Northeast,Middle Atlantic
Brown Truck Brewery,micro,1234 N Main St High Point North Carolina 27262-3118,North Carolina,3368861234,http://www.browntruckbrewery.com,United States,South,South Atlantic
BRU Handbuilt Ales and Eats,brewpub,5290 Arapahoe Ave Boulder Colorado 80303-1269,Colorado,7206385193,http://www.bruboulder.com,United States,West,Mountain
Bruehol Brewing LLC,proprietor,4828 E 2nd St Benicia California 94510-1023,California,7073276768,http://www.bruehol.com,United States,West,Pacific
Brueprint Brewing Company LLC,micro,1229 Perry Rd Ste 101 Apex North Carolina 27502-6898,North Carolina,9199718846,http://www.brueprint.com,United States,South,South Atlantic
Bruery Terreux,micro,1174 N Grove St Anaheim California 92806-2129,California,7149966258,http://www.thebruery.com,United States,West,Pacific
"Bruery, The",micro,717 Dunn Way Placentia California 92870-6806,California,7149966258,http://www.thebruery.com,United States,West,Pacific
BruRm At Bar,brewpub,254 Crown St New Haven Connecticut 06511-6610,Connecticut,2034958924,http://www.barnightclub.com,United States,Northeast,New England
Brush Creek Brewing Company,brewpub,102 N Main St Atkinson Nebraska 68713-4946,Nebraska,4029252629,Not Available,United States,Midwest,West North Central
Brutopia Brewery and Kitchen,brewpub,505 Atwood Ave Cranston Rhode Island 02920-5327,Rhode Island,4014648877,http://www.brutopiabrewery.com,United States,Northeast,New England
BS Brewing,micro,1408 Old Lehmann Rd Seguin Texas 78155-5048,Texas,8306608124,http://www.bsbrewingtx.com,United States,South,West South Central
Bubes Brewery,brewpub,102 N Market St Mount Joy Pennsylvania 17552-1306,Pennsylvania,7176532056,http://www.bubesbrewery.com,United States,Northeast,Middle Atlantic
Buck's Brewing Co,micro,993 Mount Vernon Rd Newark Ohio 43055-4728,Ohio,7406412337,Not Available,United States,Midwest,East North Central
Bucket Brigade Brewery,micro,205 N Main St Cape May Court House New Jersey 08210-2121,New Jersey,6097782641,http://www.bucketbrigadebrewery.com,United States,Northeast,Middle Atlantic
Buckeye Beer Engine,brewpub,15315 Madison Ave Lakewood Ohio 44107-4020,Ohio,2162262337,http://www.buckeyebeerengine.com,United States,Midwest,East North Central
Buckeye Lake Brewery,micro,5176 Walnut Rd Buckeye Lake Ohio 43008,Ohio,7405356225,Not Available,United States,Midwest,East North Central
Buckhorn Brewers LLC,micro,4229 W Eisenhower Blvd Loveland Colorado 80537-9202,Colorado,9709808688,Not Available,United States,West,Mountain
BuckleDown Brewing,micro,8700 47th St Lyons Illinois 60534-1626,Illinois,7087771842,http://buckledownbrewing.com,United States,Midwest,East North Central
Buffalo Bayou Brewing Co,micro,5301 Nolda St Houston Texas 77007-2234,Texas,7137509795,http://www.buffbrew.com,United States,South,West South Central
Buffalo Bills Brewery,brewpub,1082 B St Hayward California 94541-4108,California,5108869823,http://www.buffalobillsbrewery.com,United States,West,Pacific
Buffalo Brewing Company At The Water Buffalo,micro,106 S Rodney Parham Rd Little Rock Arkansas 72205,Arkansas,5012311062,http://www.thewaterbuffalo.com,United States,South,West South Central
Buffalo Brewing Company,micro,314 Myrtle Ave Buffalo New York 14204-2058,New York,7168682218,http://www.buffalo-brewing-company.com,United States,Northeast,Middle Atlantic
Buffalo Brewpub,brewpub,6861 Main St Buffalo New York 14221-5929,New York,7166320552,http://www.buffalobrewpub.com,United States,Northeast,Middle Atlantic
Buffalo Commons Brewing Company,micro,2307 Memorial Hwy Mandan North Dakota 58554-4624,North Dakota,7015952255,http://www.buffalocommonsbeer.com,United States,Midwest,West North Central
Buffalo Creek Brewing,micro,360 Historical Ln Long Grove Illinois 60047-9613,Illinois,8478216140,http://www.facebook.com/buffalocreekbrewing,United States,Midwest,East North Central
Buffalo Mountain Brewery,micro,332 Webbs Mill Rd N Floyd Virginia 24091,Virginia,Not Available,Not Available,United States,South,South Atlantic
Buffalo RiverWorks Brewery,brewpub,359 Ganson St Buffalo New York 14203-3062,New York,7163422292,http://www.buffaloriverworks.com,United States,Northeast,Middle Atlantic
Buffalo Water Beer Co,contract,"309 N Water St, #315 Milwaukee Wisconsin 53202-5710",Wisconsin,4142734680,http://www.buffalowaterbeer.com,United States,Midwest,East North Central
Bull & Bush Brewery,brewpub,4700 E Cherry Creek South Dr Denver Colorado 80246-1819,Colorado,3037590333,http://www.bullandbush.com,United States,West,Mountain
Bull Durham Beer Co,micro,409 Blackwell St Durham North Carolina 27701-3972,North Carolina,9197443568,http://www.bulldurhambeer.com,United States,South,South Atlantic
Bull Falls Brewery LLC,micro,901 E Thomas St Wausau Wisconsin 54403-6450,Wisconsin,715842,http://www.bullfallsbrewery.com,United States,Midwest,East North Central
Bull Island Brewing Company,brewpub,758 Settlers Landing Rd Hampton Virginia 23669-4035,Virginia,7577889489,http://www.bullislandbrewing.com,United States,South,South Atlantic
Bulldog Brewing,brewpub,1409 119th St Whiting Indiana 46394-1714,Indiana,2196555284,http://www.bulldogbrewingco.com,United States,Midwest,East North Central
Bullfrog Brewery - Production Only,micro,229 W 4th St Williamsport Pennsylvania 17701-6112,Pennsylvania,5703264700,Not Available,United States,Northeast,Middle Atlantic
Bullfrog Brewery,brewpub,229 W 4th St Williamsport Pennsylvania 17701-6112,Pennsylvania,5703264700,http://www.bullfrogbrewery.com,United States,Northeast,Middle Atlantic
Bullfrog Creek Brewing Company,micro,3632 Lithia Pinecrest Rd Valrico Florida 33596-6305,Florida,8137038835,http://www.bullfrogcreekbrewing.com,United States,South,South Atlantic
"Bullquarian Brewhouse, LLC",brewpub,1128 17th Ave Monroe Wisconsin 53566-2007,Wisconsin,6084266720,Not Available,United States,Midwest,East North Central
Bullthistle Brewing Co.,brewpub,45 S Main St Sherburne New York 13460-9202,New York,6076742337,Not Available,United States,Northeast,Middle Atlantic
Buoy Beer Company,micro,1 8th St Astoria Oregon 97103-4506,Oregon,5033254540,http://www.buoybeer.com,United States,West,Pacific
Bur Oak Brewing Company,micro,8250 E Trade Center Dr Columbia Missouri 65201-7635,Missouri,5738142178,http://www.buroakbeer.com,United States,Midwest,West North Central
Burdick Brewery,proprietor,8520 14th Ave S Seattle Washington 98108-4803,Washington,2069099632,http://www.burdickbrewery.com,United States,West,Pacific
Burgundian Brewing Co.,micro,4725 Lipan St Denver Colorado 80211-2334,Colorado,4704400420,http://www.facebook.com/BurgundianBrewing,United States,West,Mountain
Burial Beer Co,micro,40 Collier Ave Asheville North Carolina 28801-4024,North Carolina,Not Available,http://www.burialbeer.com,United States,South,South Atlantic
Burley Oak Craft Brewery,micro,10016 Old Ocean City Blvd Berlin Maryland 21811-1145,Maryland,4104228887,http://www.burleyoak.com,United States,South,South Atlantic
Burn'Em Brewing,brewpub,718 Freyer Rd Michigan City Indiana 46360-1911,Indiana,2193938606,http://www.burnembrewing.com,United States,Midwest,East North Central
Burnin Daylight Brewing Company,planning,Not Available Lomita California 90717,California,3107417621,Not Available,United States,West,Pacific
Burning Beard Brewing,micro,785 Vernon Way El Cajon California 92020-1938,California,6194569185,http://www.burningbeardbrewing.com,United States,West,Pacific
Burnside Brewing Co,micro,701 E Burnside St Portland Oregon 97214-1218,Oregon,5032083476,http://www.burnsidebrewco.com,United States,West,Pacific
Burnt City Brewing,micro,2747 N Lincoln Ave Chicago Illinois 60614-1320,Illinois,7732951270,http://www.burntcitybrewing.com,United States,Midwest,East North Central
Burnt Timber Brewing,brewpub,96 Lehner St Wolfeboro New Hampshire 3894,New Hampshire,6036303605,http://www.burnttimbertavern.com,United States,Northeast,New England
Burwood Brewing Company,micro,1120 E St Walla Walla Washington 99362-9505,Washington,5098766220,http://www.burwoodbrewing.com,United States,West,Pacific
Busted Knuckle Brewery,micro,303 1st Ave S Glasgow Montana 59230-2308,Montana,4062282277,Not Available,United States,West,Mountain
Butcherknife Brewing Company,micro,2875 Elk River Rd Steamboat Springs Colorado 80487-5076,Colorado,9708792337,http://www.butcherknifebrewing.com,United States,West,Mountain
Butler Brew Works,brewpub,101 S Main St Butler Pennsylvania 16001-5907,Pennsylvania,7242645347,http://www.butlerbrewworks.com,United States,Northeast,Middle Atlantic
Butte Brewing Co,micro,465 E Galena St Butte Montana 59701-1928,Montana,4062993953,http://www.buttebrewing.com,United States,West,Mountain
Butternuts Beer,micro,4021 State Highway 51 Garrattsville New York 13342-1705,New York,6072635070,http://www.butternutsbeer.com,United States,Northeast,Middle Atlantic
Buzz Bomb Brewing Co,micro,406 E Adams St Springfield Illinois 62701,Illinois,2176794157,http://www.buzzbombbrewingco.com,United States,Midwest,East North Central
Buzzards Bay Brewing Co,micro,98 Horseneck Rd Westport Massachusetts 02790-1399,Massachusetts,5086362288,http://www.buzzardsbrew.com,United States,Northeast,New England
C.B. and Potts/Big Horn Brewery - Highlands Ranch,brewpub,43 W Centennial Blvd Highlands Ranch Colorado 80129-2323,Colorado,7203441200,http://www.cbpotts.com,United States,West,Mountain
C.B. and Potts/Big Horn Brewery - Westminster,brewpub,1257 W 120th Ave Westminster Colorado 80234-2725,Colorado,3034515767,http://www.cbpotts.com,United States,West,Mountain
Cabarrus Brewing Company,micro,329 McGill Ave NW Concord North Carolina 28027-6149,North Carolina,7044904487,http://www.cabarrusbrewing.com,United States,South,South Atlantic
Cabin Boys Brewery,micro,1717 E. 7th Steeet Tulsa Oklahoma 74104,Oklahoma,9189334033,http://www.cabinboysbrewery.com,United States,South,West South Central
Cabinet Mountain Brewing Co,brewpub,206 Mineral Ave Libby Montana 59923-1952,Montana,4062932739,http://www.cabinetmountainbrewing.com,United States,West,Mountain
Caboose Brewing Co.,brewpub,520 Mill St NE Vienna Virginia 22180-4526,Virginia,7034734870,http://caboosebrewing.com,United States,South,South Atlantic
Cafe Karibo,brewpub,27 N 3rd St Fernandina Beach Florida 32034-4111,Florida,9042775269,http://www.cafekaribo.com,United States,South,South Atlantic
Cage Brewing,micro,2001 1st Ave S Saint Petersburg Florida 33712-1201,Florida,7272014278,Not Available,United States,South,South Atlantic
Cairn Brewing,micro,7204 NE 175th St Kenmore Washington 98028-3561,Washington,4259495295,http://www.cairnbrewing.com,United States,West,Pacific
Cajun Brewing,micro,206 Rayburn St Lafayette Louisiana 70506-4130,Louisiana,3378069196,http://www.cajunbrewing.com,United States,South,West South Central
Caldera Brewing Co,micro,590 Clover Ln Ashland Oregon 97520-3709,Oregon,5414824677,http://www.calderabrewing.com,United States,West,Pacific
Caledonia Brewing,micro,587 Main St Dunedin Florida 34698-4998,Florida,7273515105,http://www.caledoniabrewing.com,United States,South,South Atlantic
Calfkiller Brewing Co,micro,1839 Blue Springs Rd Sparta Tennessee 38583-2714,Tennessee,9317392337,http://www.calfkillerbeer.com,United States,South,East South Central
Calibration Brewery,brewpub,119 Armour Rd Kansas City Missouri 64116-3502,Missouri,8169948277,http://www.calibrationbrewery.com,United States,Midwest,West North Central
California Cider Co.,planning,Not Available Sebastopol California 95472,California,7078291101,http://www.acecider.com,United States,West,Pacific
California Wild Ales,contract,4204 Sorrento Valley Blvd San Diego California 92121-1446,California,Not Available,Not Available,United States,West,Pacific
